"lambs1","lambs2","lambs3"
0.116931183310752,0.0262925132481253,0.130413494378535
0.168789675383709,0.0226356274422976,0.151946614146663
0.223142677612292,0.0228938060066846,0.19428053658394
0.216746061268388,0.0555159244888174,0.139519232330355
0.20230147200434,0.0931530537569858,0.122983721822525
0.138686411671897,0.0256921871850078,0.133647868337379
0.0964233502853447,0.0179896453988439,0.131415576798801
0.107581358097059,0.0158520744503735,0.144851470677771
0.122288639998917,0.0265946073642816,0.137857357961348
0.117999840250026,0.0615685707879796,0.224967566846349
0.144495367839495,0.0312382407388396,0.162276486888979
0.12183463700302,0.036076137401987,0.214811896277446
0.107598766445154,0.033861414844956,0.107045098415826
0.173282431616058,0.0190553554796752,0.10180740779894
0.112497579122085,0.0561631035230407,0.117083487855765
0.0894471457028011,0.0436091979675606,0.207405465991487
0.115469751239876,0.0723309380669224,0.188495906079881
0.15769779568552,0.0494896746807744,0.165848177215232
0.136357624604817,0.0204154568280192,0.105071688758828
0.185001189351121,0.0144555309627622,0.133380005522795
0.166661706613669,0.0327097010346678,0.167387688408847
0.171854153297612,0.0637364100226174,0.165225261858841
0.112764052412507,0.0231683764885938,0.105892917238017
0.152204606566466,0.0262925132481253,0.13540213258258
0.173446552650667,0.0179896453988439,0.123787363872268
0.130540782620555,0.0436091979675606,0.119100173347565
0.123989643364949,0.0199529476086831,0.126465377499817
0.179525608973067,0.0494896746807744,0.201110872223498
0.10713687671549,0.0154929479982611,0.14865308871979
0.135354945216562,0.0171775236441171,0.111337592212899
0.167399409479166,0.029832974731975,0.154805670097958
0.12696067110129,0.05457855537926,0.230056971875427
0.1910396921209,0.0262881522143716,0.162369161836828
0.0861288982164574,0.0127400047350877,0.155768016685967
0.143541959954014,0.0272137622626005,0.1316647790878
0.0923190162251205,0.0124501500556714,0.190961433688243
0.142512857775185,0.0120256909798892,0.173794304872149
0.131607006002489,0.0160342106491893,0.0958609563362356
0.12788557773439,0.0330882711871541,0.153828158287204
0.20292883021884,0.0211307828718014,0.135900368771864
0.101553543269532,0.0334712227725431,0.249915848151883
0.213427549121809,0.0371173578436384,0.144964529311371
